Año,Mes,Region,Frecuencia,fuente
2022,Noviembre,Región de Arica y Parinacota,3,CEAD
2022,Noviembre,Región de Tarapacá,3,CEAD
2022,Noviembre,Región de Antofagasta,4,CEAD
2022,Noviembre,Región de Atacama,1,CEAD
2022,Noviembre,Región de Coquimbo,4,CEAD
2022,Noviembre,Región de Valparaíso,8,CEAD
2022,Noviembre,Región Metropolitana de Santiago,39,CEAD
2022,Noviembre,Región del Libertador Gral. Bernardo O’Higgins,4,CEAD
2022,Noviembre,Región del Maule,5,CEAD
2022,Noviembre,Región de Ñuble,3,CEAD
2022,Noviembre,Región del Biobío,8,CEAD
2022,Noviembre,Región de La Araucanía,1,CEAD
2022,Noviembre,Región de Los Ríos,4,CEAD
2022,Noviembre,Región de Los Lagos,1,CEAD
2022,Noviembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2022,Noviembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
