Año,Mes,Region,Frecuencia,fuente
2024,Marzo,Región de Arica y Parinacota,0,CEAD
2024,Marzo,Región de Tarapacá,2,CEAD
2024,Marzo,Región de Antofagasta,5,CEAD
2024,Marzo,Región de Atacama,1,CEAD
2024,Marzo,Región de Coquimbo,2,CEAD
2024,Marzo,Región de Valparaíso,8,CEAD
2024,Marzo,Región Metropolitana de Santiago,42,CEAD
2024,Marzo,Región del Libertador Gral. Bernardo O’Higgins,3,CEAD
2024,Marzo,Región del Maule,4,CEAD
2024,Marzo,Región de Ñuble,4,CEAD
2024,Marzo,Región del Biobío,13,CEAD
2024,Marzo,Región de La Araucanía,1,CEAD
2024,Marzo,Región de Los Ríos,3,CEAD
2024,Marzo,Región de Los Lagos,4,CEAD
2024,Marzo,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2024,Marzo,Región de Magallanes y de la Antártica Chilena,0,CEAD
