Año,Mes,Region,Frecuencia,fuente
2024,Septiembre,Región de Arica y Parinacota,1,CEAD
2024,Septiembre,Región de Tarapacá,4,CEAD
2024,Septiembre,Región de Antofagasta,7,CEAD
2024,Septiembre,Región de Atacama,1,CEAD
2024,Septiembre,Región de Coquimbo,1,CEAD
2024,Septiembre,Región de Valparaíso,12,CEAD
2024,Septiembre,Región Metropolitana de Santiago,45,CEAD
2024,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,6,CEAD
2024,Septiembre,Región del Maule,4,CEAD
2024,Septiembre,Región de Ñuble,1,CEAD
2024,Septiembre,Región del Biobío,7,CEAD
2024,Septiembre,Región de La Araucanía,3,CEAD
2024,Septiembre,Región de Los Ríos,1,CEAD
2024,Septiembre,Región de Los Lagos,0,CEAD
2024,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2024,Septiembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
