Año,Mes,Region,Frecuencia,fuente
2019,Abril,Región de Arica y Parinacota,2,CEAD
2019,Abril,Región de Tarapacá,1,CEAD
2019,Abril,Región de Antofagasta,0,CEAD
2019,Abril,Región de Atacama,0,CEAD
2019,Abril,Región de Coquimbo,4,CEAD
2019,Abril,Región de Valparaíso,4,CEAD
2019,Abril,Región Metropolitana de Santiago,25,CEAD
2019,Abril,Región del Libertador Gral. Bernardo O’Higgins,4,CEAD
2019,Abril,Región del Maule,6,CEAD
2019,Abril,Región de Ñuble,2,CEAD
2019,Abril,Región del Biobío,0,CEAD
2019,Abril,Región de La Araucanía,2,CEAD
2019,Abril,Región de Los Ríos,2,CEAD
2019,Abril,Región de Los Lagos,2,CEAD
2019,Abril,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2019,Abril,Región de Magallanes y de la Antártica Chilena,0,CEAD
