Año,Mes,Region,Frecuencia,fuente
2019,Marzo,Región de Arica y Parinacota,5,CEAD
2019,Marzo,Región de Tarapacá,0,CEAD
2019,Marzo,Región de Antofagasta,2,CEAD
2019,Marzo,Región de Atacama,0,CEAD
2019,Marzo,Región de Coquimbo,0,CEAD
2019,Marzo,Región de Valparaíso,4,CEAD
2019,Marzo,Región Metropolitana de Santiago,35,CEAD
2019,Marzo,Región del Libertador Gral. Bernardo O’Higgins,2,CEAD
2019,Marzo,Región del Maule,4,CEAD
2019,Marzo,Región de Ñuble,0,CEAD
2019,Marzo,Región del Biobío,6,CEAD
2019,Marzo,Región de La Araucanía,1,CEAD
2019,Marzo,Región de Los Ríos,1,CEAD
2019,Marzo,Región de Los Lagos,1,CEAD
2019,Marzo,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2019,Marzo,Región de Magallanes y de la Antártica Chilena,0,CEAD
