Año,Mes,Region,Frecuencia,fuente
2021,Enero,Región de Arica y Parinacota,1,CEAD
2021,Enero,Región de Tarapacá,7,CEAD
2021,Enero,Región de Antofagasta,0,CEAD
2021,Enero,Región de Atacama,0,CEAD
2021,Enero,Región de Coquimbo,0,CEAD
2021,Enero,Región de Valparaíso,7,CEAD
2021,Enero,Región Metropolitana de Santiago,34,CEAD
2021,Enero,Región del Libertador Gral. Bernardo O’Higgins,4,CEAD
2021,Enero,Región del Maule,1,CEAD
2021,Enero,Región de Ñuble,2,CEAD
2021,Enero,Región del Biobío,9,CEAD
2021,Enero,Región de La Araucanía,2,CEAD
2021,Enero,Región de Los Ríos,2,CEAD
2021,Enero,Región de Los Lagos,3,CEAD
2021,Enero,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2021,Enero,Región de Magallanes y de la Antártica Chilena,1,CEAD
