Año,Mes,Region,Frecuencia,fuente
2022,Octubre,Región de Arica y Parinacota,2,CEAD
2022,Octubre,Región de Tarapacá,5,CEAD
2022,Octubre,Región de Antofagasta,6,CEAD
2022,Octubre,Región de Atacama,0,CEAD
2022,Octubre,Región de Coquimbo,5,CEAD
2022,Octubre,Región de Valparaíso,14,CEAD
2022,Octubre,Región Metropolitana de Santiago,40,CEAD
2022,Octubre,Región del Libertador Gral. Bernardo O’Higgins,0,CEAD
2022,Octubre,Región del Maule,3,CEAD
2022,Octubre,Región de Ñuble,0,CEAD
2022,Octubre,Región del Biobío,5,CEAD
2022,Octubre,Región de La Araucanía,5,CEAD
2022,Octubre,Región de Los Ríos,1,CEAD
2022,Octubre,Región de Los Lagos,1,CEAD
2022,Octubre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2022,Octubre,Región de Magallanes y de la Antártica Chilena,1,CEAD
