Año,Mes,Region,Frecuencia,fuente
2024,Febrero,Región de Arica y Parinacota,1,CEAD
2024,Febrero,Región de Tarapacá,3,CEAD
2024,Febrero,Región de Antofagasta,5,CEAD
2024,Febrero,Región de Atacama,2,CEAD
2024,Febrero,Región de Coquimbo,3,CEAD
2024,Febrero,Región de Valparaíso,5,CEAD
2024,Febrero,Región Metropolitana de Santiago,30,CEAD
2024,Febrero,Región del Libertador Gral. Bernardo O’Higgins,3,CEAD
2024,Febrero,Región del Maule,6,CEAD
2024,Febrero,Región de Ñuble,1,CEAD
2024,Febrero,Región del Biobío,3,CEAD
2024,Febrero,Región de La Araucanía,2,CEAD
2024,Febrero,Región de Los Ríos,1,CEAD
2024,Febrero,Región de Los Lagos,1,CEAD
2024,Febrero,Región de Aysén del Gral. Carlos Ibáñez del Campo,2,CEAD
2024,Febrero,Región de Magallanes y de la Antártica Chilena,2,CEAD
